log_id,employee_code,employee_name,method,action,device_id,device_name,check_time,location
L55,EMP-2028,Nguyß╗àn V─ân 28,Fingerprint,CheckOut,D01,Main Gate,2026-01-01 17:08:00,HCM
L56,EMP-2029,Nguyß╗àn V─ân 29,Fingerprint,CheckIn,D01,Main Gate,2026-01-01 08:00:00,HCM
L57,EMP-2029,Nguyß╗àn V─ân 29,Fingerprint,CheckOut,D01,Main Gate,2026-01-01 17:07:00,HCM
L58,EMP-2030,Nguyß╗àn V─ân 30,Fingerprint,CheckIn,D01,Main Gate,2026-01-01 07:57:00,HCM
L59,EMP-2030,Nguyß╗àn V─ân 30,Fingerprint,CheckOut,D01,Main Gate,2026-01-01 17:10:00,HCM
L60,EMP-2031,Nguyß╗àn V─ân 31,Fingerprint,CheckIn,D01,Main Gate,2026-01-01 08:22:00,HCM
L61,EMP-2031,Nguyß╗àn V─ân 31,Fingerprint,CheckOut,D01,Main Gate,2026-01-01 17:09:00,HCM
L62,EMP-2032,Nguyß╗àn V─ân 32,Fingerprint,CheckIn,D01,Main Gate,2026-01-01 07:53:00,HCM
L63,EMP-2032,Nguyß╗àn V─ân 32,Fingerprint,CheckOut,D01,Main Gate,2026-01-01 17:14:00,HCM
L64,EMP-2033,Nguyß╗àn V─ân 33,Fingerprint,CheckIn,D01,Main Gate,2026-01-01 08:04:00,HCM
L65,EMP-2033,Nguyß╗àn V─ân 33,Fingerprint,CheckOut,D01,Main Gate,2026-01-01 17:01:00,HCM
L66,EMP-2034,Nguyß╗àn V─ân 34,Fingerprint,CheckIn,D01,Main Gate,2026-01-01 07:55:00,HCM
L67,EMP-2034,Nguyß╗àn V─ân 34,Fingerprint,CheckOut,D01,Main Gate,2026-01-01 17:05:00,HCM
L68,EMP-2035,Nguyß╗àn V─ân 35,Fingerprint,CheckIn,D01,Main Gate,2026-01-01 08:23:00,HCM
L69,EMP-2035,Nguyß╗àn V─ân 35,Fingerprint,CheckOut,D01,Main Gate,2026-01-01 17:11:00,HCM
L70,EMP-2036,Nguyß╗àn V─ân 36,Fingerprint,CheckIn,D01,Main Gate,2026-01-01 07:55:00,HCM
L71,EMP-2036,Nguyß╗àn V─ân 36,Fingerprint,CheckOut,D01,Main Gate,2026-01-01 17:07:00,HCM
L72,EMP-2037,Nguyß╗àn V─ân 37,Fingerprint,CheckIn,D01,Main Gate,2026-01-01 08:58:00,HCM
L73,EMP-2037,Nguyß╗àn V─ân 37,Fingerprint,CheckOut,D01,Main Gate,2026-01-01 17:06:00,HCM
L74,EMP-2038,Nguyß╗àn V─ân 38,Fingerprint,CheckIn,D01,Main Gate,2026-01-01 07:54:00,HCM
L75,EMP-2038,Nguyß╗àn V─ân 38,Fingerprint,CheckOut,D01,Main Gate,2026-01-01 16:54:00,HCM
L76,EMP-2039,Nguyß╗àn V─ân 39,Fingerprint,CheckIn,D01,Main Gate,2026-01-01 08:00:00,HCM
L77,EMP-2039,Nguyß╗àn V─ân 39,Fingerprint,CheckOut,D01,Main Gate,2026-01-01 17:08:00,HCM
L78,EMP-2040,Nguyß╗àn V─ân 40,Fingerprint,CheckIn,D01,Main Gate,2026-01-01 08:03:00,HCM
L79,EMP-2040,Nguyß╗àn V─ân 40,Fingerprint,CheckOut,D01,Main Gate,2026-01-01 17:04:00,HCM
L80,EMP-2041,Nguyß╗àn V─ân 41,Fingerprint,CheckIn,D01,Main Gate,2026-01-01 08:02:00,HCM
L81,EMP-2041,Nguyß╗àn V─ân 41,Fingerprint,CheckOut,D01,Main Gate,2026-01-01 17:08:00,HCM
L82,EMP-2042,Nguyß╗àn V─ân 42,Fingerprint,CheckIn,D01,Main Gate,2026-01-01 07:53:00,HCM
L83,EMP-2042,Nguyß╗àn V─ân 42,Fingerprint,CheckOut,D01,Main Gate,2026-01-01 17:02:00,HCM
L84,EMP-2043,Nguyß╗àn V─ân 43,Fingerprint,CheckIn,D01,Main Gate,2026-01-01 07:52:00,HCM
L85,EMP-2043,Nguyß╗àn V─ân 43,Fingerprint,CheckOut,D01,Main Gate,2026-01-01 17:14:00,HCM
L86,EMP-2044,Nguyß╗àn V─ân 44,Fingerprint,CheckIn,D01,Main Gate,2026-01-01 07:56:00,HCM
L87,EMP-2044,Nguyß╗àn V─ân 44,Fingerprint,CheckOut,D01,Main Gate,2026-01-01 17:11:00,HCM
L88,EMP-2045,Nguyß╗àn V─ân 45,Fingerprint,CheckIn,D01,Main Gate,2026-01-01 07:52:00,HCM
L89,EMP-2045,Nguyß╗àn V─ân 45,Fingerprint,CheckOut,D01,Main Gate,2026-01-01 17:04:00,HCM
L90,EMP-2046,Nguyß╗àn V─ân 46,Fingerprint,CheckIn,D01,Main Gate,2026-01-01 07:50:00,HCM
L91,EMP-2046,Nguyß╗àn V─ân 46,Fingerprint,CheckOut,D01,Main Gate,2026-01-01 17:03:00,HCM
L92,EMP-2047,Nguyß╗àn V─ân 47,Fingerprint,CheckIn,D01,Main Gate,2026-01-01 07:52:00,HCM
L93,EMP-2047,Nguyß╗àn V─ân 47,Fingerprint,CheckOut,D01,Main Gate,2026-01-01 17:08:00,HCM
L94,EMP-2049,Nguyß╗àn V─ân 49,Fingerprint,CheckIn,D01,Main Gate,2026-01-01 07:55:00,HCM
L95,EMP-2049,Nguyß╗àn V─ân 49,Fingerprint,CheckOut,D01,Main Gate,2026-01-01 16:52:00,HCM
L96,EMP-2050,Nguyß╗àn V─ân 50,Fingerprint,CheckIn,D01,Main Gate,2026-01-01 08:33:00,HCM
L97,EMP-2050,Nguyß╗àn V─ân 50,Fingerprint,CheckOut,D01,Main Gate,2026-01-01 17:07:00,HCM
L98,EMP-2051,Nguyß╗àn V─ân 51,Fingerprint,CheckIn,D01,Main Gate,2026-01-01 08:04:00,HCM
L99,EMP-2051,Nguyß╗àn V─ân 51,Fingerprint,CheckOut,D01,Main Gate,2026-01-01 17:08:00,HCM
L100,EMP-2052,Nguyß╗àn V─ân 52,Fingerprint,CheckIn,D01,Main Gate,2026-01-01 08:02:00,HCM
L101,EMP-2052,Nguyß╗àn V─ân 52,Fingerprint,CheckOut,D01,Main Gate,2026-01-01 17:09:00,HCM
L102,EMP-2053,Nguyß╗àn V─ân 53,Fingerprint,CheckIn,D01,Main Gate,2026-01-01 07:59:00,HCM
L103,EMP-2053,Nguyß╗àn V─ân 53,Fingerprint,CheckOut,D01,Main Gate,2026-01-01 17:04:00,HCM
L104,EMP-2054,Nguyß╗àn V─ân 54,Fingerprint,CheckIn,D01,Main Gate,2026-01-01 07:54:00,HCM
L105,EMP-2054,Nguyß╗àn V─ân 54,Fingerprint,CheckOut,D01,Main Gate,2026-01-01 17:09:00,HCM
L106,EMP-2055,Nguyß╗àn V─ân 55,Fingerprint,CheckIn,D01,Main Gate,2026-01-01 07:52:00,HCM
L107,EMP-2055,Nguyß╗àn V─ân 55,Fingerprint,CheckOut,D01,Main Gate,2026-01-01 17:12:00,HCM
L108,EMP-2056,Nguyß╗àn V─ân 56,Fingerprint,CheckIn,D01,Main Gate,2026-01-01 08:03:00,HCM
L109,EMP-2056,Nguyß╗àn V─ân 56,Fingerprint,CheckOut,D01,Main Gate,2026-01-01 17:09:00,HCM
L110,EMP-2057,Nguyß╗àn V─ân 57,Fingerprint,CheckIn,D01,Main Gate,2026-01-01 07:56:00,HCM
L111,EMP-2057,Nguyß╗àn V─ân 57,Fingerprint,CheckOut,D01,Main Gate,2026-01-01 17:14:00,HCM
L112,EMP-2058,Nguyß╗àn V─ân 58,Fingerprint,CheckIn,D01,Main Gate,2026-01-01 07:58:00,HCM
L113,EMP-2058,Nguyß╗àn V─ân 58,Fingerprint,CheckOut,D01,Main Gate,2026-01-01 17:12:00,HCM
L114,EMP-2059,Nguyß╗àn V─ân 59,Fingerprint,CheckIn,D01,Main Gate,2026-01-01 07:51:00,HCM
L115,EMP-2059,Nguyß╗àn V─ân 59,Fingerprint,CheckOut,D01,Main Gate,2026-01-01 17:09:00,HCM
L116,EMP-2060,Nguyß╗àn V─ân 60,Fingerprint,CheckIn,D01,Main Gate,2026-01-01 08:24:00,HCM
L117,EMP-2060,Nguyß╗àn V─ân 60,Fingerprint,CheckOut,D01,Main Gate,2026-01-01 17:06:00,HCM
L118,EMP-2061,Nguyß╗àn V─ân 61,Fingerprint,CheckIn,D01,Main Gate,2026-01-01 07:54:00,HCM
L119,EMP-2061,Nguyß╗àn V─ân 61,Fingerprint,CheckOut,D01,Main Gate,2026-01-01 17:04:00,HCM
L120,EMP-2062,Nguyß╗àn V─ân 62,Fingerprint,CheckIn,D01,Main Gate,2026-01-01 07:58:00,HCM
L121,EMP-2062,Nguyß╗àn V─ân 62,Fingerprint,CheckOut,D01,Main Gate,2026-01-01 17:06:00,HCM
L122,EMP-2063,Nguyß╗àn V─ân 63,Fingerprint,CheckIn,D01,Main Gate,2026-01-01 07:58:00,HCM
L123,EMP-2063,Nguyß╗àn V─ân 63,Fingerprint,CheckOut,D01,Main Gate,2026-01-01 17:11:00,HCM
L124,EMP-2064,Nguyß╗àn V─ân 64,Fingerprint,CheckOut,D01,Main Gate,2026-01-01 17:08:00,HCM
L125,EMP-2065,Nguyß╗àn V─ân 65,Fingerprint,CheckIn,D01,Main Gate,2026-01-01 07:55:00,HCM
L126,EMP-2065,Nguyß╗àn V─ân 65,Fingerprint,CheckOut,D01,Main Gate,2026-01-01 17:01:00,HCM
L127,EMP-2066,Nguyß╗àn V─ân 66,Fingerprint,CheckIn,D01,Main Gate,2026-01-01 07:57:00,HCM
L128,EMP-2066,Nguyß╗àn V─ân 66,Fingerprint,CheckOut,D01,Main Gate,2026-01-01 16:02:00,HCM
L129,EMP-2067,Nguyß╗àn V─ân 67,Fingerprint,CheckIn,D01,Main Gate,2026-01-01 07:50:00,HCM
L130,EMP-2067,Nguyß╗àn V─ân 67,Fingerprint,CheckOut,D01,Main Gate,2026-01-01 17:02:00,HCM
L131,EMP-2068,Nguyß╗àn V─ân 68,Fingerprint,CheckIn,D01,Main Gate,2026-01-01 07:55:00,HCM
L132,EMP-2068,Nguyß╗àn V─ân 68,Fingerprint,CheckOut,D01,Main Gate,2026-01-01 17:06:00,HCM
L133,EMP-2069,Nguyß╗àn V─ân 69,Fingerprint,CheckIn,D01,Main Gate,2026-01-01 08:04:00,HCM
L134,EMP-2069,Nguyß╗àn V─ân 69,Fingerprint,CheckOut,D01,Main Gate,2026-01-01 17:01:00,HCM
L135,EMP-2071,Nguyß╗àn V─ân 71,Fingerprint,CheckIn,D01,Main Gate,2026-01-01 08:00:00,HCM
L136,EMP-2071,Nguyß╗àn V─ân 71,Fingerprint,CheckOut,D01,Main Gate,2026-01-01 17:12:00,HCM
L137,EMP-2072,Nguyß╗àn V─ân 72,Fingerprint,CheckIn,D01,Main Gate,2026-01-01 07:51:00,HCM
L138,EMP-2072,Nguyß╗àn V─ân 72,Fingerprint,CheckOut,D01,Main Gate,2026-01-01 16:21:00,HCM
L139,EMP-2073,Nguyß╗àn V─ân 73,Fingerprint,CheckIn,D01,Main Gate,2026-01-01 08:00:00,HCM
L140,EMP-2073,Nguyß╗àn V─ân 73,Fingerprint,CheckOut,D01,Main Gate,2026-01-01 17:12:00,HCM
L141,EMP-2074,Nguyß╗àn V─ân 74,Fingerprint,CheckIn,D01,Main Gate,2026-01-01 07:59:00,HCM
L142,EMP-2074,Nguyß╗àn V─ân 74,Fingerprint,CheckOut,D01,Main Gate,2026-01-01 17:01:00,HCM
L143,EMP-2075,Nguyß╗àn V─ân 75,Fingerprint,CheckIn,D01,Main Gate,2026-01-01 08:02:00,HCM
L144,EMP-2075,Nguyß╗àn V─ân 75,Fingerprint,CheckOut,D01,Main Gate,2026-01-01 17:03:00,HCM
L145,EMP-2076,Nguyß╗àn V─ân 76,Fingerprint,CheckIn,D01,Main Gate,2026-01-01 08:02:00,HCM
L146,EMP-2076,Nguyß╗àn V─ân 76,Fingerprint,CheckOut,D01,Main Gate,2026-01-01 17:05:00,HCM
L147,EMP-2077,Nguyß╗àn V─ân 77,Fingerprint,CheckIn,D01,Main Gate,2026-01-01 07:58:00,HCM
L148,EMP-2078,Nguyß╗àn V─ân 78,Fingerprint,CheckIn,D01,Main Gate,2026-01-01 07:56:00,HCM
L149,EMP-2078,Nguyß╗àn V─ân 78,Fingerprint,CheckOut,D01,Main Gate,2026-01-01 17:02:00,HCM
L150,EMP-2079,Nguyß╗àn V─ân 79,Fingerprint,CheckIn,D01,Main Gate,2026-01-01 08:00:00,HCM
L151,EMP-2079,Nguyß╗àn V─ân 79,Fingerprint,CheckOut,D01,Main Gate,2026-01-01 17:14:00,HCM
L152,EMP-2080,Nguyß╗àn V─ân 80,Fingerprint,CheckIn,D01,Main Gate,2026-01-01 07:56:00,HCM
L153,EMP-2080,Nguyß╗àn V─ân 80,Fingerprint,CheckOut,D01,Main Gate,2026-01-01 17:06:00,HCM
L154,EMP-2081,Nguyß╗àn V─ân 81,Fingerprint,CheckIn,D01,Main Gate,2026-01-01 08:01:00,HCM
L155,EMP-2081,Nguyß╗àn V─ân 81,Fingerprint,CheckOut,D01,Main Gate,2026-01-01 17:04:00,HCM
L156,EMP-2082,Nguyß╗àn V─ân 82,Fingerprint,CheckIn,D01,Main Gate,2026-01-01 08:00:00,HCM
L157,EMP-2082,Nguyß╗àn V─ân 82,Fingerprint,CheckOut,D01,Main Gate,2026-01-01 17:06:00,HCM
L158,EMP-2083,Nguyß╗àn V─ân 83,Fingerprint,CheckIn,D01,Main Gate,2026-01-01 08:00:00,HCM
L159,EMP-2083,Nguyß╗àn V─ân 83,Fingerprint,CheckOut,D01,Main Gate,2026-01-01 17:02:00,HCM
L160,EMP-2084,Nguyß╗àn V─ân 84,Fingerprint,CheckIn,D01,Main Gate,2026-01-01 08:02:00,HCM
L161,EMP-2084,Nguyß╗àn V─ân 84,Fingerprint,CheckOut,D01,Main Gate,2026-01-01 17:08:00,HCM
L162,EMP-2085,Nguyß╗àn V─ân 85,Fingerprint,CheckIn,D01,Main Gate,2026-01-01 07:54:00,HCM
L163,EMP-2085,Nguyß╗àn V─ân 85,Fingerprint,CheckOut,D01,Main Gate,2026-01-01 17:11:00,HCM
L164,EMP-2086,Nguyß╗àn V─ân 86,Fingerprint,CheckIn,D01,Main Gate,2026-01-01 07:50:00,HCM
L165,EMP-2086,Nguyß╗àn V─ân 86,Fingerprint,CheckOut,D01,Main Gate,2026-01-01 17:12:00,HCM
L166,EMP-2087,Nguyß╗àn V─ân 87,Fingerprint,CheckIn,D01,Main Gate,2026-01-01 08:01:00,HCM
L167,EMP-2087,Nguyß╗àn V─ân 87,Fingerprint,CheckOut,D01,Main Gate,2026-01-01 17:13:00,HCM
L168,EMP-2088,Nguyß╗àn V─ân 88,Fingerprint,CheckIn,D01,Main Gate,2026-01-01 08:01:00,HCM
L169,EMP-2088,Nguyß╗àn V─ân 88,Fingerprint,CheckOut,D01,Main Gate,2026-01-01 17:07:00,HCM
L170,EMP-2089,Nguyß╗àn V─ân 89,Fingerprint,CheckIn,D01,Main Gate,2026-01-01 08:04:00,HCM
L171,EMP-2089,Nguyß╗àn V─ân 89,Fingerprint,CheckOut,D01,Main Gate,2026-01-01 16:16:00,HCM
L172,EMP-2090,Nguyß╗àn V─ân 90,Fingerprint,CheckIn,D01,Main Gate,2026-01-01 07:56:00,HCM
L173,EMP-2090,Nguyß╗àn V─ân 90,Fingerprint,CheckOut,D01,Main Gate,2026-01-01 17:04:00,HCM
L174,EMP-2091,Nguyß╗àn V─ân 91,Fingerprint,CheckIn,D01,Main Gate,2026-01-01 07:58:00,HCM
L175,EMP-2091,Nguyß╗àn V─ân 91,Fingerprint,CheckOut,D01,Main Gate,2026-01-01 17:14:00,HCM
L176,EMP-2092,Nguyß╗àn V─ân 92,Fingerprint,CheckIn,D01,Main Gate,2026-01-01 07:58:00,HCM
L177,EMP-2092,Nguyß╗àn V─ân 92,Fingerprint,CheckOut,D01,Main Gate,2026-01-01 17:07:00,HCM
L178,EMP-2093,Nguyß╗àn V─ân 93,Fingerprint,CheckIn,D01,Main Gate,2026-01-01 08:47:00,HCM
L179,EMP-2093,Nguyß╗àn V─ân 93,Fingerprint,CheckOut,D01,Main Gate,2026-01-01 17:10:00,HCM
L180,EMP-2095,Nguyß╗àn V─ân 95,Fingerprint,CheckIn,D01,Main Gate,2026-01-01 08:48:00,HCM
L181,EMP-2095,Nguyß╗àn V─ân 95,Fingerprint,CheckOut,D01,Main Gate,2026-01-01 17:13:00,HCM
L182,EMP-2096,Nguyß╗àn V─ân 96,Fingerprint,CheckIn,D01,Main Gate,2026-01-01 07:50:00,HCM
L183,EMP-2096,Nguyß╗àn V─ân 96,Fingerprint,CheckOut,D01,Main Gate,2026-01-01 17:13:00,HCM
L184,EMP-2097,Nguyß╗àn V─ân 97,Fingerprint,CheckIn,D01,Main Gate,2026-01-01 08:00:00,HCM
L185,EMP-2097,Nguyß╗àn V─ân 97,Fingerprint,CheckOut,D01,Main Gate,2026-01-01 16:58:00,HCM
L186,EMP-2098,Nguyß╗àn V─ân 98,Fingerprint,CheckIn,D01,Main Gate,2026-01-01 08:02:00,HCM
L187,EMP-2098,Nguyß╗àn V─ân 98,Fingerprint,CheckOut,D01,Main Gate,2026-01-01 17:03:00,HCM
L188,EMP-2099,Nguyß╗àn V─ân 99,Fingerprint,CheckIn,D01,Main Gate,2026-01-01 08:00:00,HCM
L189,EMP-2099,Nguyß╗àn V─ân 99,Fingerprint,CheckOut,D01,Main Gate,2026-01-01 16:48:00,HCM
L190,EMP-2100,Nguyß╗àn V─ân 100,Fingerprint,CheckIn,D01,Main Gate,2026-01-01 07:52:00,HCM
L191,EMP-2100,Nguyß╗àn V─ân 100,Fingerprint,CheckOut,D01,Main Gate,2026-01-01 17:04:00,HCM
L192,EMP-6090,TRß║ªN V─éN ANH,Fingerprint,CheckIn,D01,Main Gate,2026-01-01 08:00:00,HCM
L193,EMP-6090,TRß║ªN V─éN ANH,Fingerprint,CheckOut,D01,Main Gate,2026-01-01 17:12:00,HCM
L194,GD-001,Phß║ím Minh H├╣ng,Fingerprint,CheckIn,D01,Main Gate,2026-01-02 07:55:00,HCM
L195,GD-001,Phß║ím Minh H├╣ng,Fingerprint,CheckOut,D01,Main Gate,2026-01-02 17:12:00,HCM
L196,IT-001,L├¬ V─ân Tuß║Ñn,Fingerprint,CheckIn,D01,Main Gate,2026-01-02 07:58:00,HCM
L197,IT-001,L├¬ V─ân Tuß║Ñn,Fingerprint,CheckOut,D01,Main Gate,2026-01-02 17:10:00,HCM
L198,IT-002,Trß║ºn Thanh B├¼nh,Fingerprint,CheckIn,D01,Main Gate,2026-01-02 07:54:00,HCM
L199,IT-002,Trß║ºn Thanh B├¼nh,Fingerprint,CheckOut,D01,Main Gate,2026-01-02 17:05:00,HCM
L200,IT-003,Ho├áng Thu Ph╞░╞íng,Fingerprint,CheckIn,D01,Main Gate,2026-01-02 07:55:00,HCM
L201,IT-003,Ho├áng Thu Ph╞░╞íng,Fingerprint,CheckOut,D01,Main Gate,2026-01-02 17:03:00,HCM
L202,EMP-2001,Nguyß╗àn V─ân 1,Fingerprint,CheckIn,D01,Main Gate,2026-01-02 08:04:00,HCM
L203,EMP-2001,Nguyß╗àn V─ân 1,Fingerprint,CheckOut,D01,Main Gate,2026-01-02 17:08:00,HCM
L204,EMP-2002,Nguyß╗àn V─ân 2,Fingerprint,CheckIn,D01,Main Gate,2026-01-02 08:02:00,HCM
L205,EMP-2002,Nguyß╗àn V─ân 2,Fingerprint,CheckOut,D01,Main Gate,2026-01-02 17:04:00,HCM
L206,EMP-2003,NGUYß╗äN V─éN 3,Fingerprint,CheckIn,D01,Main Gate,2026-01-02 08:00:00,HCM
L207,EMP-2003,NGUYß╗äN V─éN 3,Fingerprint,CheckOut,D01,Main Gate,2026-01-02 17:02:00,HCM
L208,EMP-2004,Nguyß╗àn V─ân 4,Fingerprint,CheckIn,D01,Main Gate,2026-01-02 08:01:00,HCM
L209,EMP-2004,Nguyß╗àn V─ân 4,Fingerprint,CheckOut,D01,Main Gate,2026-01-02 17:14:00,HCM
L210,EMP-2005,Nguyß╗àn V─ân 5,Fingerprint,CheckIn,D01,Main Gate,2026-01-02 07:58:00,HCM
L211,EMP-2005,Nguyß╗àn V─ân 5,Fingerprint,CheckOut,D01,Main Gate,2026-01-02 17:12:00,HCM
L212,EMP-2006,Nguyß╗àn V─ân 6,Fingerprint,CheckIn,D01,Main Gate,2026-01-02 07:54:00,HCM
L213,EMP-2006,Nguyß╗àn V─ân 6,Fingerprint,CheckOut,D01,Main Gate,2026-01-02 17:09:00,HCM
L214,EMP-2007,Nguyß╗àn V─ân 7,Fingerprint,CheckIn,D01,Main Gate,2026-01-02 07:54:00,HCM
